codigo_venda,data,total
205411,"2018-10-02 20:53:29",102.74
205428,"2018-10-02 20:57:01",54.79
205467,"2018-10-02 21:03:30",116.83
205483,"2018-10-02 21:05:19",56.36
205497,"2018-10-02 21:06:57",54.79
205514,"2018-10-02 21:09:48",56.36
205521,"2018-10-02 21:11:20",62.04
205534,"2018-10-02 21:13:20",116.83
205558,"2018-10-02 21:17:01",57.85
205621,"2018-10-02 21:28:04",62.04
205659,"2018-10-02 21:33:54",44.89
205743,"2018-10-02 21:50:21",57.85
205745,"2018-10-02 21:50:42",57.85
205835,"2018-10-02 22:04:45",118.4
205838,"2018-10-02 22:04:57",56.36
205874,"2018-10-02 22:10:09",57.85
205884,"2018-10-02 22:11:23",62.04
205955,"2018-10-02 22:24:33",54.79
205970,"2018-10-02 22:27:11",57.85
205974,"2018-10-02 22:28:02",208.18
205987,"2018-10-02 22:31:51",62.04
206015,"2018-10-02 22:35:54",57.85
206084,"2018-10-02 22:47:19",57.85
206126,"2018-10-02 22:54:41",62.04
206134,"2018-10-02 22:56:24",56.36
206142,"2018-10-02 22:57:25",57.85
206173,"2018-10-02 23:03:53",54.79
206231,"2018-10-02 23:12:48",57.85
206237,"2018-10-02 23:16:04",62.04
206258,"2018-10-02 23:18:24",157.61
206263,"2018-10-02 23:19:06",54.79
206273,"2018-10-02 23:21:36",112.72
206326,"2018-10-02 23:36:24",56.36
206349,"2018-10-02 23:44:02",62.04
206710,"2018-10-03 06:30:49",221.14
206740,"2018-10-03 06:54:37",226.85
206746,"2018-10-03 06:57:09",101.25
206750,"2018-10-03 06:59:41",56.36
206751,"2018-10-03 06:59:44",114.21
206759,"2018-10-03 07:03:12",54.79
206761,"2018-10-03 07:05:57",54.79
206762,"2018-10-03 07:06:06",102.74
206818,"2018-10-03 07:35:14",62.04
206851,"2018-10-03 07:48:37",56.36
206899,"2018-10-03 08:07:32",112.64
206908,"2018-10-03 08:09:42",54.79
206988,"2018-10-03 08:28:46",54.79
207031,"2018-10-03 08:40:24",114.21
207060,"2018-10-03 08:46:02",54.79
207068,"2018-10-03 08:47:27",112.64
207206,"2018-10-03 09:11:50",44.89
207217,"2018-10-03 09:13:23",56.36
207267,"2018-10-03 09:23:45",54.79
