codigo_venda,data,total
10047,"2018-09-02 18:19:05",54.79
10070,"2018-09-02 18:21:33",44.89
10079,"2018-09-02 18:23:15",56.36
10116,"2018-09-02 18:28:31",172.06
10120,"2018-09-02 18:28:58",116.83
10123,"2018-09-02 18:29:01",62.04
10125,"2018-09-02 18:29:30",44.89
10134,"2018-09-02 18:31:48",57.85
10154,"2018-09-02 18:34:45",56.36
10186,"2018-09-02 18:39:22",101.25
10189,"2018-09-02 18:39:35",56.36
10197,"2018-09-02 18:40:38",56.36
10214,"2018-09-02 18:42:14",54.79
10245,"2018-09-02 18:46:44",106.93
10280,"2018-09-02 18:50:44",114.21
10308,"2018-09-02 18:54:11",62.04
10314,"2018-09-02 18:54:51",57.85
10328,"2018-09-02 18:57:14",62.04
10373,"2018-09-02 19:06:26",62.04
10443,"2018-09-02 19:17:05",54.79
10644,"2018-09-02 19:47:35",229.47
10687,"2018-09-02 19:53:52",106.93
10694,"2018-09-02 19:55:01",57.85
10704,"2018-09-02 19:56:18",56.36
10729,"2018-09-02 19:59:07",106.93
10764,"2018-09-02 20:05:39",54.79
10787,"2018-09-02 20:08:22",106.93
10794,"2018-09-02 20:09:24",62.04
10821,"2018-09-02 20:13:12",54.79
10824,"2018-09-02 20:13:54",62.04
10828,"2018-09-02 20:14:16",62.04
10884,"2018-09-02 20:22:54",426.62
10959,"2018-09-02 20:30:49",54.79
10999,"2018-09-02 20:39:09",56.36
11064,"2018-09-02 20:50:26",44.89
11184,"2018-09-02 21:07:34",57.85
11312,"2018-09-02 21:26:32",56.36
11314,"2018-09-02 21:26:54",56.36
11331,"2018-09-02 21:29:25",116.83
11340,"2018-09-02 21:30:33",56.36
11417,"2018-09-02 21:39:16",106.93
11432,"2018-09-02 21:40:53",112.64
11503,"2018-09-02 21:51:28",116.83
11556,"2018-09-02 21:57:56",109.58
11576,"2018-09-02 22:01:18",62.04
11615,"2018-09-02 22:08:23",109.58
11634,"2018-09-02 22:11:04",54.79
11642,"2018-09-02 22:12:15",56.36
11688,"2018-09-02 22:21:53",54.79
11691,"2018-09-02 22:22:08",57.85
